                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.58205,                0.56593,                0.87899,                0.81759,                0.79421,                0.84086,                 0.6981,                 0.6202,                0.52467,                0.87523,             5.5803e-05,             5.5803e-05,             5.5803e-05
                     69,                0.57978,                0.56955,                0.87735,                0.85387,                 0.7782,                0.84545,                0.70263,                0.61831,                0.52047,                0.87238,             5.4209e-05,             5.4209e-05,             5.4209e-05
                     70,                0.57646,                0.55831,                0.87154,                0.84533,                0.77845,                0.83775,                0.69842,                0.62353,                0.52812,                0.87738,             5.2615e-05,             5.2615e-05,             5.2615e-05
                     71,                0.57775,                0.54657,                0.87253,                0.84769,                0.77676,                0.85062,                0.70826,                0.61885,                 0.5247,                0.87543,             5.1021e-05,             5.1021e-05,             5.1021e-05
                     72,                0.57042,                 0.5466,                0.87292,                 0.8315,                0.79098,                 0.8403,                0.69574,                 0.6202,                0.51356,                0.87466,             4.9427e-05,             4.9427e-05,             4.9427e-05
                     73,                0.57673,                0.55502,                0.87692,                0.83086,                0.78239,                0.84108,                 0.6919,                0.62829,                0.51862,                0.88055,             4.7833e-05,             4.7833e-05,             4.7833e-05
                     74,                0.56521,                0.54192,                0.86511,                0.83401,                0.78629,                0.85346,                0.70921,                0.62162,                0.50603,                0.87914,             4.6239e-05,             4.6239e-05,             4.6239e-05
                     75,                0.56205,                0.53706,                 0.8704,                0.82771,                 0.7889,                 0.8529,                0.71082,                  0.614,                0.51336,                0.87169,             4.4645e-05,             4.4645e-05,             4.4645e-05
                     76,                0.56248,                0.53285,                0.87473,                 0.8552,                0.78649,                0.85234,                0.69919,                0.62417,                0.50924,                0.87661,             4.3051e-05,             4.3051e-05,             4.3051e-05
                     77,                0.56699,                0.52594,                0.86962,                0.81344,                0.80196,                0.84961,                 0.7103,                0.62028,                0.51799,                0.87483,             4.1458e-05,             4.1458e-05,             4.1458e-05
                     78,                0.56695,                0.53746,                0.87365,                0.83435,                0.80739,                0.84345,                0.70082,                0.61524,                0.51282,                0.87312,             3.9864e-05,             3.9864e-05,             3.9864e-05
                     79,                0.56828,                0.54869,                0.87804,                0.83031,                0.79862,                0.84153,                 0.6975,                0.60943,                0.51115,                0.87229,              3.827e-05,              3.827e-05,              3.827e-05
                     80,                0.56097,                  0.524,                0.87063,                0.82257,                0.79989,                 0.8337,                 0.6926,                0.61783,                0.51317,                0.87524,             3.6676e-05,             3.6676e-05,             3.6676e-05
                     81,                0.55887,                 0.5316,                0.87173,                0.82655,                0.79903,                0.83948,                0.69877,                0.61971,                0.50963,                0.87477,             3.5082e-05,             3.5082e-05,             3.5082e-05
                     82,                 0.5602,                0.52451,                0.87294,                0.81667,                0.80424,                0.85248,                0.71527,                0.61511,                0.50729,                0.87514,             3.3488e-05,             3.3488e-05,             3.3488e-05
                     83,                0.55508,                0.51665,                0.86943,                0.84876,                0.80182,                0.84451,                0.70061,                0.61618,                0.50755,                0.87316,             3.1894e-05,             3.1894e-05,             3.1894e-05
                     84,                0.56807,                0.51509,                0.86711,                0.83714,                0.79737,                0.84474,                0.70812,                0.61763,                0.50608,                0.87455,               3.03e-05,               3.03e-05,               3.03e-05
                     85,                0.54673,                0.51035,                0.86517,                0.82316,                0.80516,                0.84589,                0.70326,                0.61799,                0.50458,                0.87378,             2.8706e-05,             2.8706e-05,             2.8706e-05
                     86,                0.54655,                0.51101,                0.87135,                 0.8319,                0.80661,                0.84158,                0.69986,                0.61474,                0.49625,                 0.8725,             2.7112e-05,             2.7112e-05,             2.7112e-05
                     87,                0.54987,                0.49918,                0.86215,                0.82487,                0.81071,                0.84146,                0.69916,                0.61722,                0.50139,                0.87297,             2.5519e-05,             2.5519e-05,             2.5519e-05
                     88,                0.54436,                0.50328,                  0.865,                0.82656,                0.79671,                0.84182,                0.69897,                0.61262,                0.50264,                0.87259,             2.3925e-05,             2.3925e-05,             2.3925e-05
                     89,                0.55173,                0.50518,                0.87146,                0.84367,                0.78588,                0.83991,                0.69835,                0.61834,                0.50341,                0.87625,             2.2331e-05,             2.2331e-05,             2.2331e-05
                     90,                0.53691,                0.50026,                0.86435,                0.81489,                0.81027,                0.84495,                0.70003,                0.61377,                0.50128,                0.87316,             2.0737e-05,             2.0737e-05,             2.0737e-05
                     91,                0.54106,                0.48007,                0.85355,                0.83304,                0.79184,                0.83889,                0.69458,                0.61848,                0.50803,                0.87597,             1.9143e-05,             1.9143e-05,             1.9143e-05
                     92,                0.52455,                0.45099,                0.84929,                0.83933,                0.79958,                0.84113,                0.69469,                0.61713,                0.50868,                0.87541,             1.7549e-05,             1.7549e-05,             1.7549e-05
